"Freq [MHz]","mag(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,340.822791282215
100.5,338.527029424528
101,336.250396062416
101.5,333.9925960819
102,331.753340013505
102.5,329.532343893223
103,327.329329127509
103.5,325.144022362177
104,322.976155355056
104.5,320.825464852286
105,318.691692468134
105.5,316.574584568199
106,314.473892155921
106.5,312.389370762253
107,310.320780338414
107.5,308.267885151617
108,306.230453683674
108.5,304.20825853238
109,302.201076315598
109.5,300.208687577946
110,298.230876700014
110.5,296.267431810018
111,294.318144697827
111.5,292.38281073128
112,290.461228774719
112.5,288.553201109678
113,286.658533357651
113.5,284.777034404881
114,282.908516329104
114.5,281.052794328188
115,279.209686650615
115.5,277.379014527735
116,275.560602107758
116.5,273.754276391411
117,271.959867169229
117.5,270.177206960415
118,268.406130953227
118.5,266.646476946856
119,264.898085294733
119.5,263.160798849237
120,261.434462907757
120.5,259.718925160067
121,258.01403563698
121.5,256.319646660233
122,254.635612793589
122.5,252.961790795091
123,251.298039570458
123.5,249.644220127584
124,248.000195532099
124.5,246.365830863975
125,244.740993175136
125.5,243.125551448055
126,241.519376555296
126.5,239.922341219983
127,238.33431997717
127.5,236.755189136087
128,235.184826743226
128.5,233.623112546261
129,232.069927958765
129.5,230.52515602571
130,228.988681389723
130.5,227.460390258078
131,225.940170370401
131.5,224.427910967084
132,222.923502758359
132.5,221.426837894044
133,219.937809933917
133.5,218.456313818729
134,216.982245841804
134.5,215.515503621237
135,214.055986072669
135.5,212.603593382606
136,211.158226982292
136.5,209.719789522102
137,208.288184846447
137.5,206.863317969178
138,205.445095049478
138.5,204.03342336822
139,202.628211304787
139.5,201.229368314332
140,199.836804905482
140.5,198.450432618453
141,197.070164003577
141.5,195.695912600235
142,194.327592916169
142.5,192.965120407174
143,191.60841145716
143.5,190.257383358561
144,188.911954293105
144.5,187.572043312905
145,186.237570321887
145.5,184.908456057537
146,183.584622072949
146.5,182.265990719185
147,180.952485127913
147.5,179.644029194345
148,178.340547560436
148.5,177.041965598358
149,175.748209394236
149.5,174.459205732129
150,173.174882078263
150.5,171.8951665655
151,170.619987978034
151.5,169.34927573632
152,168.082959882209
152.5,166.820971064303
153,165.563240523512
153.5,164.309700078809
154,163.060282113173
154.5,161.81491955973
155,160.573545888061
155.5,159.336095090694
156,158.102501669764
156.5,156.872700623835
157,155.646627434883
157.5,154.424218055432
158,153.205408895841
158.5,151.990136811736
159,150.778339091573
159.5,149.569953444353
160,148.364917987451
160.5,147.163171234585
161,145.964652083897
161.5,144.769299806163
162,143.57705403311
162.5,142.387854745853
163,141.201642263433
163.5,140.018357231462
164,138.837940610877
164.5,137.660333666784
165,136.485477957407
165.5,135.313315323126
166,134.143787875614
166.5,132.976837987058
167,131.812408279473
167.5,130.650441614109
168,129.490881080935
168.5,128.333669988219
169,127.17875185219
169.5,126.026070386788
170,124.875569493504
170.5,123.727193251301
171,122.580885906639
171.5,121.436591863575
172,120.294255673977
172.5,119.153822027819
173,118.015235743597
173.5,116.878441758837
174,115.743385120729
174.5,114.610010976873
175,113.478264566165
175.5,112.34809120981
176,111.21943630249
176.5,110.092245303692
177,108.966463729207
177.5,107.842037142821
178,106.71891114821
178.5,105.597031381063
179,104.476343501448
179.5,103.356793186452
180,102.238326123113
180.5,101.120888001689
181,100.004424509281
181.5,98.8888813238552
182,97.7742041087084
182.5,96.6603385074212
183,95.5472301393481
183.5,94.434824595707
184,93.3230674363316
184.5,92.2119041871576
185,91.1012803385262
185.5,89.9911413443931
186,88.8814326225452
186.5,87.7720995559373
187,86.6630874952749
187.5,85.5543417629851
188,84.4458076587329
188.5,83.3374304666621
189,82.2291554645575
189.5,81.1209279351547
190,80.0126931798475
190.5,78.9043965350773
191,77.795983391722
191.5,76.6873992178467
192,75.5785895852212
192.5,74.4695002000666
193,73.3600769385494
193.5,72.2502658876183
194,71.1400133918529
194.5,70.0292661070909
195,68.9179710617051
195.5,67.8060757265256
196,66.6935280945473
196.5,65.5802767717272
197,64.4662710803709
197.5,63.351461176834
198,62.2357981855274
198.5,61.1192343515258
199,60.0017232144418
199.5,58.88321980666
200,57.7636808795277
200.5,56.6430651617052
201,55.5213336545885
201.5,54.3984499705729
202,53.2743807209424
202.5,52.1490959613941
203,51.0225697046819
203.5,49.8947805116398
204,48.7657121740098
204.5,47.6353545051265
205,46.5037042577266
205.5,45.3707661920958
206,44.236554322633
206.5,43.101093376927
207,41.9644205089336
207.5,40.8265873171851
208,39.6876622307105
208.5,38.5477333401409
209,37.4069117702418
209.5,36.2653357140243
210,35.123175279194
210.5,33.9806383371203
211,32.8379776155075
211.5,31.6954993423103
212,30.5535738351924
212.5,29.412648544818
213,28.2732642106914
213.5,27.1360749875096
214,26.0018736646637
214.5,24.8716234535125
215,23.7464982847281
215.5,22.6279341766078
216,21.5176950453961
216.5,20.4179573697975
217,19.3314194141433
217.5,18.2614422159129
218,17.212231054862
218.5,16.1890670940332
219,15.1985980451533
219.5,14.2491914100388
220,13.3513390745965
220.5,12.5180694797352
221,11.7652624740649
221.5,11.1116661928193
222,10.5783051309797
222.5,10.1869280555092
223,9.95733677741837
223.5,9.90399119350652
224,10.033007854472
224.5,10.3409158950208
225,10.8158002330691
225.5,11.4404593422019
226,12.1952452850192
226.5,13.0609047598692
227,14.020143635458
227.5,15.0582603282009
228,16.1631841612739
228.5,17.3252158127158
229,18.536663478991
229.5,19.7914775841691
230,21.0849283870531
230.5,22.4133392988909
231,23.7738741089388
231.5,25.1643708308385
232,26.5832137829216
232.5,28.0292362635263
233,29.5016475494833
233.5,30.9999794004442
234,32.5240486111925
234.5,34.0739334086485
235,35.649962727588
235.5,37.2527187936175
236,38.88305530343
236.5,40.5421364062339
237,42.2315068604062
237.5,43.9532138482669
238,45.7100224537147
238.5,47.5058168143496
239,49.3464074660258
239.5,51.2413395804454
240,53.2085813821826
240.5,55.2895413123012
241,57.6168836896235
241.5,61.0549305991281
242,55.9716239846931
242.5,61.5029738820746
243,64.2286433768651
243.5,66.6945799261062
244,69.1307143128419
244.5,71.5870742809417
245,74.0527746038202
245.5,76.4487073326504
246,78.5928722586622
246.5,80.2426004795256
247,81.3971282602601
247.5,82.5611033576318
248,84.2576100548898
248.5,86.5526798536765
249,89.2756593535793
249.5,92.2801602823023
250,95.495238969646
250.5,98.9033142699264
251,102.518866751258
251.5,106.378446437522
252,110.538942661825
252.5,115.081579824773
253,120.120978102985
253.5,125.819486321093
254,132.404659905696
254.5,140.171490846702
255,149.36935389498
255.5,159.49803571427
256,166.283855969542
256.5,156.258766426344
257,127.247952483825
257.5,108.733975353229
258,107.1342238199
258.5,112.671879460493
259,120.459779143997
259.5,130.13565447699
260,144.310081814465
260.5,148.249599785294
261,150.8545857085
261.5,157.154966603914
262,164.818761143586
262.5,173.384380695695
263,182.849736903099
263.5,193.325394796514
264,204.920675226475
264.5,217.643033977486
265,231.281691031628
265.5,245.408013117156
266,259.901509147416
266.5,276.738247436542
267,307.616110182434
267.5,593.050344900027
268,308.728359525724
268.5,280.111622403103
269,261.089061143024
269.5,221.45002103563
270,177.079109056246
270.5,147.473857634347
