"Freq [MHz]","mag(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,340.807586041205
100.5,338.513959860108
101,336.239385385846
101.5,333.983568592036
102,331.746221092424
102.5,329.527060002038
103,327.325807802343
103.5,325.142192210298
104,322.975946051168
104.5,320.826807134967
105,318.694518136411
105.5,316.578826478266
106,314.479484217974
106.5,312.396247937459
107,310.328878635993
107.5,308.277141626034
108,306.240806431939
108.5,304.219646691452
109,302.213440059879
109.5,300.221968116875
110,298.245016275737
110.5,296.282373695152
111,294.333833193291
111.5,292.399191164204
112,290.478247496422
112.5,288.570805493708
113,286.676671797888
113.5,284.795656313694
114,282.92757213556
114.5,281.072235476316
115,279.229465597704
115.5,277.399084742681
116,275.580918069448
116.5,273.774793587138
117,271.980542093139
117.5,270.197997111981
118,268.426994835749
118.5,266.667374065976
119,264.918976156973
119.5,263.181644960549
120,261.455226772081
120.5,259.739570277904
121,258.034526503961
121.5,256.339948765699
122,254.65569261916
122.5,252.981615813241
123,251.317578243075
123.5,249.663441904523
124,248.019070849726
124.5,246.384331143686
125,244.759090821872
125.5,243.143219848779
126,241.536590077457
126.5,239.939075209954
127,238.35055075865
127.5,236.770894008473
128,235.199983979952
128.5,233.637701393097
129,232.08392863208
129.5,230.538549710682
130,229.001450238513
130.5,227.472517387948
131,225.951639861788
131.5,224.438707861607
132,222.933613056783
132.5,221.436248554173
133,219.946508868431
133.5,218.464289892949
134,216.98948887139
134.5,215.522004369822
135,214.061736249401
135.5,212.608585639632
136,211.162454912145
136.5,209.72324765501
137,208.290868647559
137.5,206.865223835692
138,205.446220307681
138.5,204.033766270428
139,202.627771026183
139.5,201.228144949706
140,199.834799465858
140.5,198.447647027607
141,197.066601094442
141.5,195.691576111187
142,194.32248748719
142.5,192.95925157589
143,191.601785654746
143.5,190.250007905522
144,188.903837394905
144.5,187.563194055466
145,186.227998666936
145.5,184.898172837802
146,183.573638987201
146.5,182.254320327119
147,180.940140844866
147.5,179.631025285842
