"Freq [MHz]","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.01meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.04meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.08meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter' W='0.12meter'"
250,-2.4131717921595,-2.45706239950395,-3.34204343911029,-2.64292195356777
252,-2.59827155815031,-2.64148417119268,-3.26264792754485,-2.0127328447406
254,-2.77144033005577,-2.81275313596194,-3.16067407633647,-1.810325273065
256,-2.92524429173204,-2.96341873301423,-3.04343737404416,-1.98047361736974
258,-3.05265539201714,-3.08657243010031,-2.91738997243553,-5.07467236807318
260,-3.14797701479448,-3.17677273950416,-2.78777211929065,-2.34233729969136
262,-3.20764259152164,-3.23082008311851,-2.65855347052479,-1.66156178207454
264,-3.23065953755279,-3.24816315977273,-2.53255072076671,-1.91216642158072
266,-3.21859320160192,-3.23082604247845,-2.4116252769151,-2.55172313323663
268,-3.17515596868902,-3.1829039297852,-2.29689677124279,-3.13738946748982
270,-3.10554618748334,-3.10980330601628,-2.18893755488365,-3.42714742729514
272,-3.01567240586221,-3.01744214087061,-2.08793388956705,-1.89120964420811
274,-2.9114183078044,-2.91158012762929,-1.99381159323266,-1.19047633148284
276,-2.79810169506088,-2.79736291677015,-1.90632976303944,-0.816070225418594
278,-2.68018460120341,-2.67908513117334,-1.82514831622421,-0.805494661664752
280,-2.56119219965183,-2.56012885954974,-1.74987523293363,-1.12089793201385
282,-2.44376453270186,-2.44301819982229,-1.6800986592751,-1.54421690242391
284,-2.32977538615776,-2.32953549119228,-1.61540803814023,-1.90061077619454
286,-2.22047378605956,-2.2208591458423,-1.55540747133196,-2.17088034228166
288,-2.11662204787065,-2.11769817811962,-1.49972369493335,-2.40539000753448
290,-2.01861741651573,-2.02041065690287,-1.44801039749484,-2.65663756975632
292,-1.92659263573114,-1.9291014357572,-1.39995011467814,-2.96519531937879
294,-1.84049548514348,-1.84369921521258,-1.35525456780633,-3.36337980235455
296,-1.76014961188333,-1.76401527843496,-1.31366404899609,-3.88009619630315
298,-1.68529980945273,-1.68978704873991,-1.27494626720703,-4.5436424507552
300,-1.61564492573391,-1.62070962448031,-1.23889493745311,-5.38242253746886
302,-1.5508612362362,-1.5564580853222,-1.20532830409404,-6.42332573763689
304,-1.49061864164308,-1.4967028798736,-1.17408772704837,-7.68577843708803
306,-1.43459156781104,-1.44112012379524,-1.14503641858798,-9.16475141904634
308,-1.38246601925208,-1.3893982148756,-1.11805839213093,-10.7853231643601
310,-1.33394388295729,-1.34124182389993,-1.09305766897293,-12.305436163881
312,-1.28874529797903,-1.29637404566822,-1.06995778131955,-13.2434916621288
314,-1.24660968884826,-1.25453728367065,-1.04870160837747,-13.1856983702498
316,-1.20729589642657,-1.21549328305691,-1.02925158538156,-12.3108276961377
318,-1.17058171717205,-1.17902260851758,-1.01159033248344,-11.1221514663003
320,-1.13626307143469,-1.14492377698458,-0.995721760897187,-9.94666794183598
322,-1.10415295542876,-1.11301219191563,-0.981672727171725,-8.90202153645078
324,-1.07408028375919,-1.08311898030504,-0.969495322387439,-8.00806890753605
