f,Via(318MHz),No_via(287)
100000000,0.999467724,0.997416001
100500000,0.999452348,0.997383687
101000000,0.999436602,0.997350875
101500000,0.999420404,0.997317487
102000000,0.999403743,0.997283513
102500000,0.999386606,0.99724894
103000000,0.999368984,0.997213756
103500000,0.999350864,0.997177949
104000000,0.999332234,0.997141505
104500000,0.999313082,0.997104411
105000000,0.999293395,0.997066654
105500000,0.999273161,0.99702822
106000000,0.999252367,0.996989095
106500000,0.999230998,0.996949266
107000000,0.999209042,0.996908717
107500000,0.999186365,0.996867329
108000000,0.999163187,0.996825292
108500000,0.999139378,0.996782489
109000000,0.999114922,0.996738905
109500000,0.999089804,0.996694523
110000000,0.999064008,0.996649326
110500000,0.999037517,0.996603297
111000000,0.999010314,0.996556419
111500000,0.998982382,0.996508673
112000000,0.998953703,0.99646004
112500000,0.998924258,0.996410502
113000000,0.998894028,0.996360039
113500000,0.998862992,0.99630863
114000000,0.998830987,0.996256131
114500000,0.998798277,0.996202766
115000000,0.998764699,0.996148391
115500000,0.998730232,0.996092985
116000000,0.99869485,0.996036523
116500000,0.998658531,0.995978982
117000000,0.998621251,0.995920336
117500000,0.998582982,0.99586056
118000000,0.998543698,0.995799628
118500000,0.998503373,0.995737513
119000000,0.998461977,0.995674186
119500000,0.998419481,0.995609618
120000000,0.998375854,0.99554378
120500000,0.998331065,0.995476639
121000000,0.998284926,0.995408037
121500000,0.998237708,0.995338193
122000000,0.998189225,0.995266948
122500000,0.998139438,0.995194264
123000000,0.998088309,0.995120106
123500000,0.998035797,0.995044434
124000000,0.997981861,0.994967208
124500000,0.997926456,0.994888387
125000000,0.997869537,0.994807929
125500000,0.997811057,0.994725787
126000000,0.997750965,0.994641916
126500000,0.99768921,0.994556268
127000000,0.997625738,0.994468792
127500000,0.997560365,0.994379333
128000000,0.997493288,0.994288044
128500000,0.997424317,0.994194764
129000000,0.997353388,0.994099434
129500000,0.997280432,0.994001992
130000000,0.99720538,0.993902375
130500000,0.997128158,0.993800516
131000000,0.997048688,0.993696346
131500000,0.99696689,0.99358979
132000000,0.996882679,0.993480776
132500000,0.996795967,0.993369221
133000000,0.99670666,0.993255045
