"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.992652683888698
100.5,0.992612043185355
101,0.992571887484322
101.5,0.992532207396921
102,0.992492993719643
102.5,0.992454237429736
103,0.992415929680914
103.5,0.992378061799186
104,0.992340625278777
104.5,0.992303611778182
105,0.992267013116304
105.5,0.992230821268706
106,0.992195028363956
106.5,0.992159626680071
107,0.992124608641059
107.5,0.99208996681354
108,0.99205569390347
108.5,0.992021782752939
109,0.991988226337063
109.5,0.991955017760946
110,0.991922150256736
110.5,0.991889617180742
111,0.991857412010639
111.5,0.991825528342737
112,0.991793959889328
112.5,0.991762700476093
113,0.991731744039589
113.5,0.991701084624787
114,0.991670716382683
114.5,0.991640633567969
115,0.991610830536764
115.5,0.991581301744397
116,0.991552041743261
116.5,0.991523045180708
117,0.991494306797008
117.5,0.991465821423355
118,0.991437583979927
118.5,0.991409589473993
119,0.991381832998073
119.5,0.991354309728141
120,0.991327014921878
120.5,0.991299943916963
121,0.991273092129418
121.5,0.991246455051986
122,0.991220028252557
122.5,0.99119380737263
123,0.991167788125817
123.5,0.991141966296385
124,0.991116337737835
124.5,0.991090898371521
125,0.991065644185294
125.5,0.991040571232198
126,0.991015675629182
126.5,0.990990953555859
127,0.990966401253289
127.5,0.990942015022795
128,0.990917791224817
128.5,0.990893726277782
129,0.990869816657019
129.5,0.99084605889369
130,0.990822449573757
130.5,0.990798985336973
131,0.9907756628759
131.5,0.990752478934956
132,0.99072943030948
132.5,0.990706513844834
133,0.990683726435517
133.5,0.990661065024316
134,0.990638526601463
134.5,0.990616108203834
135,0.990593806914162
135.5,0.990571619860265
136,0.990549544214307
136.5,0.990527577192077
137,0.990505716052287
137.5,0.990483958095887
138,0.990462300665411
138.5,0.990440741144329
139,0.990419276956431
139.5,0.990397905565218
140,0.990376624473325
140.5,0.990355431221948
141,0.9903343233903
141.5,0.990313298595083
142,0.99029235448997
142.5,0.990271488765113
143,0.990250699146668
143.5,0.990229983396326
144,0.990209339310875
144.5,0.990188764721769
145,0.990168257494714
145.5,0.990147815529277
146,0.990127436758498
146.5,0.990107119148533
147,0.990086860698298
147.5,0.990066659439141
148,0.990046513434519
148.5,0.990026420779695
149,0.990006379601454
149.5,0.989986388057823
150,0.989966444337817
150.5,0.989946546661193
151,0.989926693278223
151.5,0.989906882469477
152,0.989887112545625
152.5,0.989867381847251
153,0.989847688744683
153.5,0.98982803163784
154,0.989808408956085
154.5,0.989788819158103
155,0.989769260731791
155.5,0.989749732194156
156,0.989730232091234
156.5,0.98971075899803
157,0.989691311518457
157.5,0.989671888285302
158,0.989652487960207
158.5,0.989633109233662
159,0.989613750825013
159.5,0.989594411482488
160,0.989575089983235
160.5,0.989555785133386
161,0.989536495768126
161.5,0.989517220751782
162,0.989497958977932
162.5,0.989478709369529
163,0.989459470879042
163.5,0.989440242488612
164,0.989421023210237
164.5,0.989401812085955
165,0.989382608188071
165.5,0.98936341061938
166,0.989344218513426
166.5,0.98932503103477
167,0.989305847379285
167.5,0.989286666774468
168,0.989267488479781
168.5,0.989248311786998
169,0.989229136020593
169.5,0.989209960538138
170,0.989190784730732
170.5,0.989171608023447
171,0.989152429875809
171.5,0.989133249782297
172,0.98911406727287
172.5,0.989094881913521
173,0.989075693306865
173.5,0.989056501092746
174,0.989037304948884
174.5,0.989018104591543
175,0.988998899776242
175.5,0.988979690298486
176,0.988960475994548
176.5,0.988941256742265
177,0.98892203246189
177.5,0.988902803116973
178,0.988883568715277
178.5,0.988864329309747
179,0.988845084999505
179.5,0.988825835930905
180,0.988806582298619
180.5,0.98878732434678
181,0.988768062370168
181.5,0.98874879671545
182,0.98872952778247
182.5,0.988710256025594
183,0.988690981955113
183.5,0.988671706138703
184,0.988652429202952
184.5,0.988633151834942
185,0.988613874783905
185.5,0.988594598862942
186,0.988575324950825
186.5,0.988556053993858
187,0.988536787007832
187.5,0.988517525080053
188,0.988498269371454
188.5,0.988479021118806
189,0.988459781637011
189.5,0.988440552321494
190,0.988421334650706
190.5,0.988402130188715
191,0.988382940587926
191.5,0.988363767591901
192,0.988344613038313
192.5,0.988325478862014
193,0.988306367098244
193.5,0.988287279885974
194,0.988268219471394
194.5,0.988249188211551
195,0.98823018857815
195.5,0.988211223161516
196,0.988192294674728
196.5,0.988173405957946
197,0.988154559982913
197.5,0.988135759857672
198,0.98811700883148
198.5,0.988098310299954
199,0.988079667810434
199.5,0.988061085067604
200,0.988042565939353
200.5,0.98802411446291
201,0.988005734851258
201.5,0.98798743149984
202,0.987969208993578
202.5,0.987951072114209
203,0.98793302584797
203.5,0.987915075393636
204,0.987897226170935
204.5,0.98787948382936
205,0.987861854257392
205.5,0.987844343592171
206,0.987826958229607
206.5,0.987809704834998
207,0.987792590354133
207.5,0.987775622024943
208,0.987758807389706
208.5,0.987742154307849
209,0.987725670969356
209.5,0.987709365908841
210,0.987693248020298
210.5,0.987677326572572
211,0.987661611225577
211.5,0.987646112047322
212,0.987630839531744
212.5,0.987615804617435
213,0.987601018707266
213.5,0.987586493688969
214,0.98757224195672
214.5,0.98755827643377
215,0.987544610596149
215.5,0.987531258497522
216,0.987518234795215
216.5,0.987505554777468
217,0.987493234391957
217.5,0.987481290275622
218,0.987469739785847
218.5,0.987458601033016
219,0.987447892914486
219.5,0.987437635149978
220,0.987427848318412
220.5,0.98741855389618
221,0.987409774296829
221.5,0.987401532912122
222,0.987393854154409
222.5,0.987386763500216
223,0.987380287534901
223.5,0.987374453998221
224,0.987369291830536
224.5,0.987364831219362
225,0.987361103645858
225.5,0.987358141930748
226,0.987355980279016
226.5,0.987354654322611
227,0.987354201160121
227.5,0.987354659392227
228,0.987356069151362
228.5,0.987358472123727
229,0.987361911561316
229.5,0.98736643228109
230,0.987372080647785
230.5,0.987378904535992
231,0.987386953266191
231.5,0.987396277508136
232,0.987406929143479
232.5,0.987418961077621
233,0.987432426988386
233.5,0.987447380996192
234,0.98746387723667
234.5,0.987481969312085
235,0.987501709592049
235.5,0.98752314832669
236,0.987546332526089
236.5,0.987571304547959
237,0.987598100320388
237.5,0.987626747107032
238,0.98765726069716
238.5,0.987689641870553
239,0.987723871945187
239.5,0.987759907160619
240,0.987797671577677
240.5,0.987837048079569
241,0.987877866932463
241.5,0.987919891193733
242,0.987962798027241
242.5,0.988006154674854
243,0.988049387409694
243.5,0.988091741213686
244,0.988132227113279
244.5,0.9881695529763
245,0.98820203197733
245.5,0.988227460667781
246,0.988242955323354
246.5,0.988244730507245
247,0.988227796851803
247.5,0.988185544800201
248,0.988109165720857
248.5,0.987986838696243
249,0.987802576157916
249.5,0.987534567806649
250,0.987152779839633
250.5,0.986615440517939
251,0.985863853331159
251.5,0.984814703673023
252,0.983348659908689
252.5,0.981293696355944
253,0.978401559922519
253.5,0.974317421517719
254,0.968549602170961
254.5,0.960467129324454
255,0.949403220987603
255.5,0.935024342814829
256,0.918120108755674
256.5,0.901480896110728
257,0.889456991382249
257.5,0.885247053905757
258,0.888515160218487
258.5,0.896355857912883
259,0.905791784893737
259.5,0.914990562506537
260,0.923165971947534
260.5,0.930129999727447
261,0.935957104677301
261.5,0.940807565534563
262,0.944850593476139
262.5,0.948236493952985
263,0.951089943186482
263.5,0.953511297219232
264,0.95558034643687
264.5,0.957360325543124
265,0.958901433638369
265.5,0.960243697306624
266,0.961419219880957
266.5,0.962453920635191
267,0.963368871338024
267.5,0.964181322652802
268,0.964905494279571
268.5,0.965553185836869
269,0.966134251694757
269.5,0.966656972267949
270,0.967128346171231
270.5,0.967554321573183
271,0.967939980567944
271.5,0.968289687025651
272,0.96860720587963
272.5,0.96889579993798
273,0.969158308903163
273.5,0.969397214224062
274,0.969614692601873
274.5,0.969812660358658
275,0.969992810407797
275.5,0.970156643203379
276,0.970305492764713
276.5,0.970440548653188
277,0.970562874606985
277.5,0.970673424403926
278,0.970773055415541
278.5,0.970862540230165
279,0.970942576654635
279.5,0.971013796349358
280,0.971076772307254
280.5,0.971132025351198
281,0.971180029795393
281.5,0.971221218392214
282,0.971255986666492
282.5,0.97128469672302
283,0.971307680599774
283.5,0.97132524322822
284,0.971337665052871
284.5,0.971345204354568
285,0.97134809931548
285.5,0.971346569858406
286,0.971340819288362
286.5,0.9713310357606
287,0.971317393595893
287.5,0.971300054461125
288,0.971279168430873
288.5,0.971254874943605
289,0.971227303664376
289.5,0.971196575264425
290,0.971162802126752
290.5,0.97112608898568
291,0.971086533507398
291.5,0.971044226817684
292,0.970999253982264
292.5,0.970951694444622
293,0.970901622425544
293.5,0.970849107288187
294,0.970794213872037
294.5,0.970737002798762
295,0.97067753075263
295.5,0.970615850737882
296,0.970552012315199
296.5,0.970486061819169
297,0.970418042558467
297.5,0.970347995000306
298,0.970275956940521
298.5,0.970201963660548
299,0.970126048072418
299.5,0.970048240852785
300,0.969968570566897
300.5,0.969887063783346
301,0.969803745180357
301.5,0.969718637644276
302,0.9696317623609
302.5,0.969543138900199
303,0.969452785294941
303.5,0.969360718113692
304,0.969266952528615
304.5,0.969171502378449
305,0.969074380227036
305.5,0.968975597417699
306,0.968875164123788
306.5,0.968773089395649
307,0.968669381204276
307.5,0.968564046481867
308,0.968457091159486
308.5,0.968348520202046
309,0.968238337640757
309.5,0.968126546603228
310,0.968013149341359
310.5,0.96789814725716
311,0.967781540926626
311.5,0.967663330121783
312,0.967543513831013
312.5,0.967422090277753
313,0.967299056937666
313.5,0.967174410554353
314,0.967048147153705
314.5,0.966920262056944
315,0.966790749892435
315.5,0.966659604606317
316,0.966526819472018
316.5,0.966392387098702
317,0.966256299438687
317.5,0.966118547793894
318,0.965979122821354
318.5,0.965838014537805
319,0.965695212323432
319.5,0.965550704924759
320,0.965404480456735
320.5,0.965256526404031
321,0.965106829621577
321.5,0.964955376334353
322,0.964802152136462
322.5,0.964647141989489
323,0.964490330220173
323.5,0.9643317005174
324,0.964171235928521
324.5,0.964008918855019
325,0.963844731047526
325.5,0.963678653600189
326,0.963510666944405
326.5,0.963340750841923
327,0.963168884377306
327.5,0.962995045949769
328,0.962819213264393
328.5,0.962641363322695
329,0.962461472412576
329.5,0.962279516097629
330,0.962095469205806
330.5,0.961909305817443
331,0.961720999252629
331.5,0.961530522057919
332,0.961337845992373
332.5,0.961142942012927
333,0.960945780259064
333.5,0.960746330036795
334,0.960544559801919
334.5,0.960340437142564
335,0.960133928760979
335.5,0.959925000454573
336,0.959713617096179
336.5,0.959499742613524
337,0.959283339967888
337.5,0.959064371131928
338,0.958842797066652
338.5,0.958618577697514
339,0.958391671889606
339.5,0.958162037421927
340,0.957929630960701
340.5,0.957694408031703
341,0.957456322991592
341.5,0.957215328998189
342,0.956971377979686
342.5,0.956724420602754
343,0.956474406239497
343.5,0.95622128293324
344,0.955964997363091
344.5,0.955705494807245
345,0.955442719104992
345.5,0.955176612617382
346,0.954907116186487
346.5,0.954634169093247
347,0.954357709013804
347.5,0.954077671974312
348,0.953793992304147
348.5,0.953506602587459
349,0.953215433613023
349.5,0.952920414322307
350,0.952621471755706
350.5,0.952318530996871
351,0.952011515115059
351.5,0.951700345105433
352,0.95138493982724
352.5,0.951065215939778
353,0.950741087836074
