"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.99408740159439
100.5,0.994104013072988
101,0.994120084629585
101.5,0.994135624494272
102,0.994150640731052
102.5,0.994165141241908
103,0.994179133770777
103.5,0.994192625907406
104,0.994205625091121
104.5,0.994218138614476
105,0.994230173626829
105.5,0.9942417371378
106,0.994252836020659
106.5,0.994263477015616
107,0.994273666733021
107.5,0.994283411656487
108,0.994292718145934
108.5,0.994301592440548
109,0.994310040661666
109.5,0.994318068815589
110,0.994325682796322
110.5,0.994332888388242
111,0.994339691268699
111.5,0.994346097010552
112,0.994352111084642
112.5,0.994357738862202
113,0.994362985617201
113.5,0.994367856528638
114,0.994372356682774
114.5,0.994376491075311
115,0.994380264613511
115.5,0.994383682118273
116,0.994386748326152
116.5,0.994389467891326
117,0.994391845387526
117.5,0.994393885309907
118,0.994395592076883
118.5,0.994396970031911
119,0.99439802344524
119.5,0.994398756515609
120,0.994399173371915
120.5,0.994399278074832
121,0.994399074618398
121.5,0.994398566931566
122,0.994397758879712
122.5,0.994396654266114
123,0.994395256833399
123.5,0.994393570264949
124,0.994391598186283
124.5,0.9943893441664
125,0.994386811719103
125.5,0.994384004304279
126,0.994380925329164
126.5,0.994377578149574
127,0.994373966071106
127.5,0.994370092350321
128,0.994365960195893
128.5,0.994361572769741
129,0.99435693318813
129.5,0.994352044522755
130,0.994346909801801
130.5,0.994341532010973
131,0.994335914094519
131.5,0.99433005895622
132,0.99432396946037
132.5,0.994317648432722
133,0.994311098661437
133.5,0.994304322897989
134,0.994297323858078
134.5,0.994290104222503
135,0.994282666638038
135.5,0.994275013718271
136,0.994267148044451
136.5,0.994259072166302
137,0.994250788602826
137.5,0.994242299843097
138,0.994233608347039
138.5,0.994224716546189
139,0.994215626844447
139.5,0.994206341618814
140,0.994196863220124
140.5,0.994187193973753
141,0.994177336180328
141.5,0.994167292116419
142,0.994157064035219
142.5,0.994146654167222
143,0.994136064720887
143.5,0.994125297883285
144,0.994114355820757
144.5,0.994103240679538
145,0.994091954586399
145.5,0.994080499649258
146,0.994068877957803
146.5,0.994057091584092
147,0.994045142583159
147.5,0.994033032993607
148,0.994020764838195
148.5,0.994008340124421
149,0.993995760845102
149.5,0.993983028978946
150,0.993970146491115
150.5,0.993957115333796
151,0.993943937446758
151.5,0.993930614757905
152,0.993917149183832
152.5,0.993903542630375
153,0.993889796993157
153.5,0.993875914158132
154,0.993861896002131
154.5,0.993847744393398
155,0.993833461192135
155.5,0.993819048251036
156,0.993804507415829
156.5,0.993789840525812
157,0.99377504941439
157.5,0.993760135909612
158,0.993745101834713
158.5,0.99372994900865
159,0.993714679246644
159.5,0.993699294360724
160,0.993683796160268
160.5,0.993668186452556
161,0.993652467043311
161.5,0.99363663973726
162,0.993620706338687
162.5,0.993604668651991
163,0.993588528482255
163.5,0.993572287635811
164,0.993555947920819
164.5,0.99353951114784
165,0.993522979130428
165.5,0.993506353685721
166,0.993489636635034
166.5,0.993472829804473
167,0.993455935025544
167.5,0.993438954135776
168,0.99342188897935
168.5,0.993404741407742
169,0.993387513280368
169.5,0.993370206465248
170,0.993352822839673
170.5,0.993335364290885
171,0.993317832716776
171.5,0.993300230026587
172,0.99328255814163
172.5,0.993264818996019
173,0.993247014537419
173.5,0.993229146727801
174,0.993211217544227
174.5,0.993193228979635
175,0.993175183043655
175.5,0.993157081763432
176,0.993138927184475
176.5,0.993120721371522
177,0.993102466409424
177.5,0.993084164404049
178,0.993065817483216
178.5,0.993047427797638
179,0.9930289975219
179.5,0.993010528855455
180,0.992992024023651
180.5,0.992973485278776
181,0.992954914901138
181.5,0.99293631520017
182,0.992917688515566
182.5,0.992899037218444
183,0.99288036371255
183.5,0.992861670435479
184,0.992842959859951
184.5,0.992824234495104
185,0.992805496887832
185.5,0.992786749624167
186,0.992767995330687
186.5,0.992749236675975
187,0.99273047637212
187.5,0.992711717176258
188,0.992692961892161
188.5,0.992674213371873
189,0.992655474517397
189.5,0.992636748282425
190,0.992618037674134
190.5,0.992599345755019
191,0.992580675644797
191.5,0.992562030522361
192,0.992543413627794
192.5,0.992524828264447
193,0.992506277801079
193.5,0.992487765674061
194,0.992469295389653
194.5,0.992450870526343
195,0.992432494737263
195.5,0.992414171752676
196,0.992395905382541
196.5,0.992377699519151
197,0.992359558139856
197.5,0.992341485309863
198,0.992323485185121
198.5,0.992305562015292
199,0.99228772014681
199.5,0.992269964026021
200,0.992252298202423
200.5,0.99223472733199
201,0.992217256180592
201.5,0.992199889627504
202,0.992182632669011
202.5,0.992165490422106
203,0.992148468128284
203.5,0.992131571157423
204,0.992114805011757
204.5,0.992098175329943
205,0.992081687891213
205.5,0.9920653486196
206,0.992049163588261
206.5,0.992033139023851
207,0.992017281310979
207.5,0.992001596996715
208,0.991986092795142
208.5,0.991970775591952
209,0.991955652449052
209.5,0.991940730609181
210,0.99192601750051
210.5,0.991911520741203
211,0.991897248143916
211.5,0.991883207720192
212,0.991869407684735
212.5,0.991855856459502
213,0.99184256267758
213.5,0.991829535186779
214,0.991816783052901
214.5,0.991804315562576
215,0.991792142225627
215.5,0.991780272776821
216,0.991768717176937
216.5,0.991757485613003
217,0.991746588497552
