"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.9915946806031
100.5,0.991588764570474
101,0.991582316884413
101.5,0.991575346852285
102,0.991567863596566
102.5,0.991559876059333
103,0.991551393006623
103.5,0.991542423032689
104,0.991532974564149
104.5,0.991523055864011
105,0.99151267503562
105.5,0.991501840026482
106,0.99149055863201
106.5,0.991478838499159
107,0.991466687129988
107.5,0.991454111885121
108,0.991441119987131
108.5,0.991427718523836
109,0.991413914451526
109.5,0.991399714598098
110,0.991385125666133
110.5,0.991370154235888
111,0.991354806768229
111.5,0.99133908960749
112,0.991323008984268
112.5,0.991306571018166
113,0.991289781720451
113.5,0.991272646996689
114,0.991255172649288
114.5,0.991237364380011
115,0.99121922779243
115.5,0.991200768394323
116,0.991181991600033
116.5,0.99116290273277
117,0.991143507026878
117.5,0.991123809630049
118,0.991103815605503
118.5,0.991083529934124
119,0.991062957516558
119.5,0.991042103175278
120,0.991020971656605
120.5,0.990999567632705
121,0.990977895703553
121.5,0.990955960398854
122,0.990933766179955
122.5,0.990911317441707
123,0.990888618514325
123.5,0.990865673665199
124,0.990842487100699
124.5,0.99081906296795
125,0.990795405356587
125.5,0.990771518300493
126,0.99074740577952
126.5,0.990723071721187
127,0.990698520002371
127.5,0.990673754450976
128,0.990648778847599
128.5,0.990623596927177
129,0.990598212380627
129.5,0.990572628856478
130,0.990546849962497
130.5,0.990520879267308
131,0.990494720302006
131.5,0.990468376561773
132,0.990441851507485
132.5,0.990415148567327
133,0.990388271138409
133.5,0.990361222588376
134,0.990334006257038
134.5,0.990306625457991
135,0.990279083480262
135.5,0.990251383589948
136,0.990223529031879
136.5,0.990195523031289
137,0.990167368795499
137.5,0.990139069515626
138,0.990110628368301
138.5,0.990082048517417
139,0.990053333115892
139.5,0.990024485307463
140,0.989995508228503
140.5,0.989966405009872
141,0.989937178778799
141.5,0.989907832660793
142,0.989878369781596
142.5,0.989848793269182
143,0.989819106255781
143.5,0.989789311879969
144,0.989759413288791
144.5,0.989729413639941
145,0.989699316104
145.5,0.98966912386673
146,0.989638840131428
146.5,0.989608468121347
147,0.989578011082193
147.5,0.989547472284685
148,0.989516855027204
148.5,0.98948616263852
149,0.989455398480606
149.5,0.989424565951552
150,0.98939366848857
150.5,0.989362709571108
151,0.989331692724073
151.5,0.989300621521173
152,0.98926949958838
152.5,0.989238330607526
153,0.989207118320033
153.5,0.989175866530797
154,0.98914457911222
154.5,0.989113260008407
155,0.989081913239539
155.5,0.989050542906426
156,0.989019153195253
156.5,0.988987748382536
157,0.988956332840288
157.5,0.98892491104142
158,0.988893487565382
158.5,0.988862067104063
159,0.988830654467961
159.5,0.988799254592649
160,0.988767872545536
160.5,0.988736513532962
161,0.988705182907634
161.5,0.988673886176423
162,0.988642629008559
162.5,0.988611417244222
163,0.988580256903586
163.5,0.988549154196314
164,0.988518115531551
164.5,0.988487147528442
165,0.988456257027205
165.5,0.988425451100798
166,0.988394737067215
166.5,0.988364122502455
