"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,6.27325672611086,267.922884081865
100.5,6.38523535102793,270.285930415227
101,6.49987106622919,272.673793108848
101.5,6.61723576328543,275.086970641803
102,6.73740373346179,277.525974692163
102.5,6.86045176548023,279.991330587274
103,6.98645924797935,282.483577772658
103.5,7.11550827692833,285.003270300447
104,7.2476837682759,287.550977338305
104.5,7.38307357612556,290.127283699855
105,7.52176861675042,292.732790397675
105.5,7.66386299878565,295.368115220004
106,7.80945415994719,298.033893332343
106.5,7.95864301066051,300.730777905225
107,8.11153408499967,303.4594407695
107.5,8.26823569936825,306.220573100535
108,8.4288601193808,309.014886132856
108.5,8.59352373543461,311.843111906812
109,8.76234724749413,314.706004048956
109.5,8.93545585964873,317.604338587933
110,9.11297948503875,320.538914807783
110.5,9.29505296179232,323.510556140671
111,9.48181628065185,326.520111101205
111.5,9.67341482502726,329.568454264596
112,9.86999962425843,332.656487291117
112.5,10.0717276209222,335.78513999941
113,10.2787619530971,338.95537149141
113.5,10.4912722525374,342.168171331781
114,10.7094349598098,345.424560785008
114.5,10.9334336574953,348.725594113428
115,11.163459422664,352.072359939766
115.5,11.399711199906,355.465982677926
116,11.6423961963079,358.907624036084
116.5,11.8917302998699,362.398484596358
117,12.1479385229674,365.939805475684
117.5,12.411255472599,369.532870072779
118,12.681925849285,373.179005906462
118.5,12.9602049766451,376.879586550962
119,13.2463593638272,380.63603367422
119.5,13.5406673031588,384.449819185662
120,13.8434195055584,388.322467500339
120.5,14.1549197764839,392.255557926877
121,14.475485735398,396.250727187201
121.5,14.8054495820011,400.309672076599
122,15.1451589127455,404.43415227331
122.5,15.4949775914567,408.625993307563
123,15.8552866782053,412.887089700692
123.5,16.2264854209439,417.219408285815
124,16.6089923148242,421.624991722431
124.5,17.0032462345348,426.10596221828
125,17.409707645491,430.664525472839
125.5,17.8288599002387,435.302974858006
126,18.2612106270088,440.023695852769
126.5,18.7072932180126,444.82917075002
127,19.167668425773,449.721983655176
127.5,19.6429260765783,454.704825797924
128,20.1336869110097,459.780501180156
128.5,20.6406045624584,464.951932585174
129,21.164367685623,470.222167975357
129.5,21.7057022481545,475.594387307859
130,22.2653739999359,481.071909800507
130.5,22.8441911359601,486.658201682899
131,23.4430071703862,492.356884470867
131.5,24.0627240411907,498.171743805893
132,24.7042954668508,504.106738904919
132.5,25.3687305787783,510.166012670166
133,26.0570978557628,516.353902513233
133.5,26.7705293895372,522.67495195292
134,27.5102255137685,529.133923051872
134.5,28.2774598323813,535.735809763492
135,29.073584687161,542.485852267572
135.5,29.9000371091442,549.389552380871
136,30.7583453034457,556.452690137567
136.5,31.6501357229761,563.681341644131
137,32.5771407931024,571.081898323971
