"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,2.98291830124309,234.859742974966
100.5,3.02545586226826,236.732319420896
101,3.06888220137781,238.620351383727
101.5,3.11321801411556,240.524096991354
102,3.15848456824709,242.443819913095
102.5,3.20470372276344,244.379789513559
103,3.25189794762835,246.332281011666
103.5,3.30009034430155,248.301575645022
104,3.34930466707456,250.287960839845
104.5,3.39956534525322,252.291730386682
105,3.45089750622913,254.313184622135
105.5,3.50332699947829,256.352630616845
106,3.55688042153047,258.410382369991
106.5,3.61158514195649,260.486761010551
107,3.66746933041737,262.582095005631
107.5,3.72456198482953,264.696720376128
108,3.78289296069457,266.83098092004
108.5,3.84249300165438,268.985228443749
109,3.90339377132509,271.159823001603
109.5,3.9656278864751,273.355133144141
110,4.02922895161154,275.571536175354
110.5,4.09423159504343,277.809418419333
111,4.16067150649528,280.069175496733
111.5,4.22858547634593,282.351212611476
112,4.29801143657632,284.655944848118
112.5,4.36898850350938,286.983797480375
113,4.44155702243345,289.335206291277
113.5,4.51575861420534,291.710617905481
114,4.59163622393228,294.110490134278
114.5,4.66923417184287,296.535292333862
115,4.74859820645636,298.985505777471
115.5,4.82977556017304,301.461624042021
116,4.91281500741127,303.964153409898
116.5,4.99776692542686,306.493613286616
117,5.08468335795414,309.050536635067
117.5,5.17361808182424,311.635470427137
118,5.2646266767176,314.24897611352
118.5,5.35776659822085,316.891630112569
119,5.45309725437117,319.564024319117
119.5,5.55068008587616,322.266766634196
120,5.650578650215,325.000481516702
120.5,5.75285870983722,327.765810558031
121,5.857588324688,330.563413080852
121.5,5.96483794930654,333.393966763175
122,6.07468053475424,336.258168288998
122.5,6.18719163565494,339.156734026841
123,6.30244952263865,342.090400737591
123.5,6.42053530050277,345.059926313128
124,6.54153303243096,348.066090547328
124.5,6.66552987062221,351.109695941091
125,6.79261619371178,354.191568543168
125.5,6.92288575139783,357.312558828666
126,7.05643581670003,360.473542617205
126.5,7.19336734631892,363.675422032829
127,7.33378514959698,366.919126507924
127.5,7.47779806660437,370.205613833489
128,7.62551915592506,373.535871258299
128.5,7.77706589275202,376.910916639618
129,7.93256037793753,380.331799648321
129.5,8.09212955870733,383.799603031438
130,8.25590546178082,387.315443935348
130.5,8.42402543970404,390.880475293037
131,8.59663243126508,394.495887279086
131.5,8.77387523690918,398.162908836254
132,8.95590881016147,401.882809277822
132.5,9.14289456612418,405.65689997011
133,9.33500070820253,409.486536099884
133.5,9.53240257430733,413.373118531694
134,9.73528300386851,417.318095760524
134.5,9.94383272710294,421.322965965513
135,10.1582507781026,425.389279170892
135.5,10.3787449334093,429.518639520732
136,10.6055321779106,433.712707674542
136.5,10.8388392000009,437.973203331287
137,11.0789029181478,442.301907889915
137.5,11.3259710411536,446.700667255075
138,11.5803026645962,451.171394797369
138.5,11.8421689061628,455.716074478131
139,12.1118535827886,460.33676414951
139.5,12.3896539327867,465.03559904142
140,12.6758813864167,469.814795447819
140.5,12.9708623886427,474.676654625722
141,13.274939278175,479.623566921404
141.5,13.5884712272225,484.658016139362
142,13.9118352468181,489.782584170867
142.5,14.2454272629945,494.99995590025
143,14.5896632695783,500.312924408542
143.5,14.9449805639062,505.724396495697
144,15.3118390723612,511.237398544345
144.5,15.6907227732601,516.855082749964
145,16.0821412253746,522.580733744423
145.5,16.4866312111295,528.417775642146
146,16.9047585044425,534.36977954066
146.5,17.3371197741187,540.440471510027
147,17.7843446348292,546.633741108714
147.5,18.2470978589008,552.95365046673
148,18.7260817634964,559.404443980574
148.5,19.2220387892715,565.990558668523
149,19.735754288278,572.716635239271
149.5,20.2680595407414,579.587529931791
150,20.8198350224619,586.608327189771
150.5,21.3920139469362,593.784353239939
151,21.9855861088956,601.12119065023
151.5,22.6016020589933,608.624693951171
152,23.241177642621,616.301006411977
152.5,23.90549893964,624.156578071991
153,24.5958276460312,632.198185138219
153.5,25.3135069432265,640.43295087097
154,26.0599679063108,648.868368092233
154.5,26.8367365083971,657.512323465443
155,27.6454412854111,666.373123711074
155.5,28.4878217334492,675.45952394007
156,29.3657375198128,684.780758306941
156.5,30.2811785991066,694.346573206546
157,31.2362763374933,704.167263263589
157.5,32.2333157615439,714.25371039204
158,33.274749063543,724.617426233459
158.5,34.3632105126984,735.270598319179
159,35.5015329420095,746.226140341979
159.5,36.6927660039597,757.497746969064
160,37.9401964152264,769.09995368061
160.5,39.2473704419226,781.048202177826
161,40.618118913187,793.358911972582
161.5,42.0565850932283,806.049558848405
162,43.5672557911522,819.138760971684
162.5,45.1549961454295,832.64637353398
163,46.8250885873076,846.593592923706
163.5,48.583276566573,861.003071560516
164,50.435813716233,875.899044681684
164.5,52.3895192427151,891.307470550061
165,54.4518404583218,907.256185762301
165.5,56.6309235272542,923.775077578899
166,58.9356936804996,940.896275480515
166.5,61.3759463746615,958.654364485393
167,63.9624511330582,977.086623149289
167.5,66.707070123924,996.233289623182
168,69.6228939121756,1016.13785967798
168.5,72.7243972832392,1036.84742123556
169,76.0276185986141,1058.41303069127
169.5,79.5503668272288,1080.89013719785
170,83.3124612344374,1104.33906213462
170.5,87.3360097404271,1128.82554224348
171,91.6457332312895,1154.42134642077
171.5,96.2693446826411,1181.20497796511
172,101.237993919862,1209.26247626558
172.5,106.586791297817,1238.6883345578
173,112.355426676429,1269.58655358416
173.5,118.588903980966,1302.07185490582
174,125.338416611642,1336.27108239645
174.5,132.662395331472,1372.32482631928
175,140.627768450613,1410.38931162258
175.5,149.311484730375,1450.63860103395
176,158.802363253194,1493.26717463654
176.5,169.203352649404,1538.49296143888
177,180.63430606155,1586.5609157327
177.5,193.235410190418,1637.74725269994
178,207.171449697519,1692.3644849656
178.5,222.637146391767,1750.76743609966
179,239.863892107943,1813.36045033333
179.5,259.128303840782,1880.60607229676
180,280.763182499776,1953.03553918556
180.5,305.17167181424,2031.26151356842
181,332.845720263747,2115.99359122624
181.5,364.390390184125,2208.05724727422
182,400.556201661042,2308.41703477596
182.5,442.282649244759,2418.20501519849
183,490.757452292665,2538.75555470572
183.5,547.498259475967,2671.64770317735
184,614.466853501652,2818.75624432069
184.5,694.231096678469,2982.31185869009
185,790.198086008849,3164.96901324913
185.5,906.955185643351,3369.87574701432
186,1050.77698668704,3600.72934086675
186.5,1230.3910171401,3861.7790646663
187,1458.15110193371,4157.68641225014
187.5,1751.85454707972,4493.03958551642
188,2137.56136554301,4871.06260584676
188.5,2653.88834736081,5290.47858870639
