"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.1,0.991813226261716,-368.405450307722
0.105,1.02359736547732,-345.86778464938
0.11,1.06454807119383,-325.098328994685
0.115,1.11492552720973,-305.859352179212
0.12,1.17497106459606,-287.952845455001
0.125,1.24494296774643,-271.211614592515
0.13,1.32515068524736,-255.493645846951
0.135,1.41598041247807,-240.677271107096
0.14,1.51791563727382,-226.65753826622
0.145,1.63155515890319,-213.343531622834
0.15,1.75762281261353,-200.655402877494
0.155,1.89698593843864,-188.523175254422
0.16,2.05066214819535,-176.88430856797
0.165,2.21985682267603,-165.684227110593
0.17,2.40593714825058,-154.871353388938
0.175,2.61054086635798,-144.40231930446
0.18,2.83553628560413,-134.235484099822
0.185,3.08311214842034,-124.333349225887
0.19,3.35580297031008,-114.660410117665
0.195,3.65660340699379,-105.184481312522
0.2,3.98904758473752,-95.8754659019855
0.205,4.35724815065463,-86.7034868210055
0.21,4.76610641559633,-77.6411102727671
0.215,5.22140672235311,-68.6618430861867
0.22,5.72991780580863,-59.7395811442897
0.225,6.29965606784109,-50.8499568312841
0.23,6.93976014395776,-41.9677255383487
0.235,7.66089794551843,-33.0695766654745
0.24,8.47514821942334,-24.1321705428275
0.245,9.39608758006978,-15.1325359015863
0.25,10.4389775116919,-6.04814305633612
0.255,11.6207196262669,3.14366494416264
0.26,12.9599688889582,12.4654651292227
0.265,14.4780625494446,21.9404933085967
0.27,16.1986632694102,31.5924320668401
0.275,18.1490189127555,41.4461243887205
0.28,20.3602097458647,51.5268774191506
0.285,22.868174566373,61.8607030735877
0.29,25.7147118827498,72.4746176966228
0.295,28.9479613406742,83.3953500067166
0.3,32.6234719662506,94.6495975541524
0.305,36.8048760754101,106.263393996763
0.31,41.5646075391497,118.261864992254
0.315,46.9847258691495,130.669572224676
0.32,53.1580415169451,143.511589176191
0.325,60.1902584448743,156.815944142669
0.33,68.2046683334514,170.618137872653
0.335,77.3527436599426,184.968863479532
0.34,87.8344486889661,199.939843885185
0.345,99.9386053649167,215.627541032011
0.35,114.109030290147,232.13180128283
0.355,131.034921617506,249.477502937264
0.36,151.725796926109,267.425658070701
0.365,177.464045420488,285.144242258125
0.37,209.420379583316,300.802879941708
0.375,247.778458104234,311.509212700509
0.38,290.842876036779,314.198631501604
0.385,335.306260291696,307.138936200595
0.39,377.599799232004,290.51738609569
0.395,414.87085639243,265.905201698316
0.4,445.225540449956,235.657162320846
0.405,467.793984846466,202.558175084267
0.41,482.82145892658,169.565156886575
0.415,491.942317698329,139.525733490683
0.42,498.63939867411,114.309515257263
0.425,507.846315952048,92.9493692785539
0.43,523.308334386623,69.8334803767139
0.435,542.301519310173,36.038802494862
0.44,553.330247658077,-12.2583992120131
0.445,544.280687423905,-67.106775387552
0.45,513.813443773841,-109.904836905937
0.455,481.212238478406,-129.461291907729
0.46,464.443154770837,-138.606032029795
0.465,461.933069542064,-159.380645737948
0.47,449.153620588595,-204.866760818941
0.475,395.717054576891,-249.700795810276
0.48,324.5637062577,-249.957965652619
0.485,281.129541463421,-220.346512877893
0.49,260.225487718014,-196.957418742169
0.495,240.79407150479,-176.197472167329
0.5,229.471730660913,-150.462121901079
0.505,232.028592196378,-127.754618182456
0.51,238.564670264312,-123.431073696203
0.515,225.810136594418,-118.603395438504
0.52,217.328086009014,-97.1218719247243
