"Freq [MHz]","dB(St(Rectangle3_T1,Rectangle3_T1)) []"
100,-0.00439086999384177
105,-0.00515540871251579
110,-0.00637248764123548
115,-0.00811514350659051
120,-0.0104823374097613
125,-0.0136084908781401
130,-0.0176768840678571
135,-0.0229388312352557
140,-0.0297416096489003
145,-0.0385698573534685
150,-0.0501080564018541
155,-0.0653366423072422
160,-0.0856827716956109
165,-0.113261597406386
170,-0.151269829586763
175,-0.20463794060733
180,-0.281118877905801
185,-0.39308088122371
190,-0.560265265546942
195,-0.813074036608385
200,-1.19222923230172
205,-1.72759239411431
210,-2.3576142293748
215,-2.81821001418583
220,-2.8124701737284
225,-2.41963975901241
230,-1.93187869343098
235,-1.51441110587043
240,-1.21300809345428
245,-4.19206895616814
250,-0.591303645252599
255,-0.355417683856798
260,-0.354597262507752
265,-0.257776411832072
270,-18.7733933877148
275,-0.436405710105673
280,-7.38702339908156
285,-3.15265177111312
290,-2.19527011391588
295,-2.01551018636314
300,-2.34293063103288
305,-3.23788021793593
310,-4.93604297470242
315,-7.47448419426102
320,-9.58692051247613
325,-9.31695157611015
330,-7.94712753444012
335,-6.8412908319476
340,-6.16284693670546
345,-5.80387598416933
350,-5.62859849820008
355,-5.53723173773207
360,-5.35209981502061
365,-4.89002670491618
370,-4.14666314716498
375,-3.32749152529604
380,-2.63025287483756
385,-2.12013532536654
390,-1.77460209831414
395,-1.54843080764214
400,-1.40252353483249
405,-1.30945274237666
410,-1.25144504353721
415,-1.21735000389816
420,-1.20027678746152
425,-1.19601288452797
430,-1.20200922183545
435,-1.21672435788724
440,-1.23918867205716
445,-1.26871154064296
450,-1.30470078651788
455,-1.34659169553328
460,-1.39388479548917
465,-1.44625896065614
470,-1.50366782545138
475,-1.56628480396808
480,-1.63419540146004
485,-1.70686724689573
490,-1.78259537860384
495,-1.85820501315661
500,-1.92921914600124
505,-1.99049425508452
510,-2.03711176034324
515,-2.06520912526277
520,-2.07249106624311
525,-2.05832622873044
530,-2.02350239646977
535,-1.96980309941564
540,-1.89956694195548
545,-1.81533546703108
550,-1.71963190614458
555,-1.61486872526711
560,-1.50336168374268
565,-1.38742553531199
570,-1.2695325045814
575,-1.15252229459716
580,-1.03985709620851
585,-0.935913533470468
590,-0.846292187150845
595,-0.778100212924652
600,-0.740120639412648
