Freq [MHz],"re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,0.593204062,-338.8886804
105,0.60795005,-316.1134915
110,0.656969623,-295.0364255
115,0.732055037,-275.4153348
120,0.827562271,-257.0465589
125,0.939794803,-239.7570355
130,1.066565235,-223.3981768
135,1.206885497,-207.8410485
140,1.360752011,-192.9725148
145,1.529002954,-178.6921027
150,1.713232424,-164.9093971
155,1.915751971,-151.5418216
160,2.139594625,-138.5126832
165,2.388560721,-125.7493742
170,2.667309254,-113.1816297
175,2.981504035,-100.7397283
180,3.338031636,-88.35250087
185,3.745320199,-75.94496667
190,4.213808274,-63.4353332
195,4.756648013,-50.7309505
200,5.390791932,-37.7225536
205,6.138737645,-24.27565154
210,7.031460016,-10.21701591
215,8.113611675,4.687596895
220,9.453351928,20.77222893
225,11.16239152,38.54261703
230,13.46787802,58.93563494
235,17.02083186,84.09098327
240,25.32016256,122.9122024
245,20.42700005,-40.48215143
250,17.34948685,150.7437894
255,36.88347213,293.8158203
260,50.67783316,345.1615412
265,500.7632456,500.2389644
270,47.30176447,10.94916907
275,574.2365175,500.9056366
280,69.49241278,52.1830361
285,255.5769254,75.232475
290,388.8930541,58.27116623
295,375.4927625,-145.6663516
300,218.7144525,-180.843923
305,140.1099858,-131.0723225
310,109.218702,-82.55927781
315,98.31771659,-44.14696851
320,96.89874565,-13.97256267
325,100.7411635,9.790845818
330,107.6960917,28.05389413
335,116.0647641,41.1469187
340,123.9240512,49.45360029
345,129.2153241,54.19592681
350,130.6608531,57.76946655
355,127.8219912,62.10862729
360,121.7077211,69.84152711
365,114.4956423,82.6593058
370,108.5642418,100.7787795
375,105.7267389,123.5201238
380,107.1843347,149.9412632
385,113.7874774,179.1414481
390,126.2949719,210.2928539
395,145.5416291,242.5323269
400,172.514131,274.7809275
405,208.3304841,305.5060534
410,254.0775608,332.4311187
415,310.4120112,352.2415489
420,376.8128039,360.4565145
425,450.493062,351.8321822
430,525.3905366,321.7762196
435,592.2961395,268.8357325
440,641.238955,197.0376788
445,665.588808,115.7796708
450,664.9892605,36.36656133
455,644.6792645,-32.41674166
460,612.1876722,-86.46144998
465,574.2774971,-125.6357701
470,535.6638014,-151.9003062
475,499.1518818,-167.7728754
480,466.2792633,-175.5917849
485,437.8681558,-177.3534184
490,414.3238796,-174.7740869
495,395.7531982,-169.3566086
500,382.023039,-162.4040327
505,372.8255517,-155.0111269
510,367.7540649,-148.0722095
515,366.3696061,-142.3180146
520,368.2415021,-138.3740157
525,372.9560696,-136.8276614
530,380.0923875,-138.2950249
535,389.1622905,-143.4798457
540,399.5060203,-153.2145066
545,410.1300189,-168.4589783
550,419.4783941,-190.2056475
555,425.1661356,-219.1952687
560,423.809107,-255.3192584
565,411.2876697,-296.6692661
570,383.9425547,-338.5881133
575,340.8220607,-373.769647
580,285.7318355,-394.5469117
585,226.7428873,-396.6530644
590,172.6294312,-381.3620134
595,129.1267732,-354.0552987
600,97.84514024,-320.9874842
